Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,label
0,1,0,0,0,6,1,1,0,0,0,1,,,,,,1
0,2,0,0,0,6,1,1,0,0,0,1,,,,,,1
0,3,0,0,0,6,1,1,0,1,0,1,,,,,,1
0,4,0,0,0,6,1,1,0,2,0,1,,,,,,1
0,5,0,0,0,6,1,1,0,3,0,1,,,,,,1
0,6,0,0,0,6,1,1,0,4,0,1,,,,,,1
0,7,0,0,0,6,1,2,0,0,0,1,,,,,,1
0,8,0,0,0,6,1,2,0,1,0,1,,,,,,1
0,9,0,0,0,6,1,2,0,2,0,1,,,,,,1
0,0a,0,0,0,6,1,2,0,3,0,1,,,,,,1
0,0b,0,0,0,6,1,2,0,4,0,1,,,,,,1
0,0c,0,0,0,6,1,2,0,4,0,1,,,,,,1
0,0d,0,0,0,6,1,2,0,5,0,1,,,,,,1
0,0e,0,0,0,6,1,2,0,6,0,1,,,,,,1
0,0f,0,0,0,6,1,2,0,7,0,1,,,,,,1
0,10,0,0,0,6,1,2,0,8,0,1,,,,,,1
0,11,0,0,0,6,1,3,0,0,0,1,,,,,,1
0,12,0,0,0,6,1,3,0,1,0,1,,,,,,1
0,13,0,0,0,6,1,3,0,2,0,1,,,,,,1
0,14,0,0,0,6,1,3,0,3,0,1,,,,,,1
0,15,0,0,0,6,1,3,0,4,0,1,,,,,,1
0,16,0,0,0,6,1,3,0,5,0,1,,,,,,1
0,17,0,0,0,6,1,3,0,6,0,1,,,,,,1
0,18,0,0,0,6,1,3,0,7,0,1,,,,,,1
0,19,0,0,0,6,1,3,0,8,0,1,,,,,,1
0,1a,0,0,0,6,1,3,0,8,0,1,,,,,,1
0,1b,0,0,0,6,1,3,0,9,0,1,,,,,,1
0,1c,0,0,0,6,1,3,0,0a,0,1,,,,,,1
0,1d,0,0,0,6,1,3,0,0b,0,1,,,,,,1
0,1e,0,0,0,6,1,3,0,0c,0,1,,,,,,1
